Food Item,Meal Type,Calories,Protein,Fat,Carbohydrates,Fiber,Serving Size
Gongura Mutton Curry,Dinner,450,30,22,15,3,1 bowl
Andhra Chicken Curry,Dinner,500,35,22,12,4,1 bowl
Bagara Baingan,Dinner,350,7,18,30,5,1 serving
Pesarattu (Green Gram Pancake),Dinner,300,15,10,35,6,2 pancakes
Chepala Pulusu (Fish Curry),Dinner,400,30,20,10,2,1 bowl
Rava Upma,Dinner,250,6,12,30,5,1 bowl
Mamidikaya Pulihora (Mango Rice),Dinner,220,4,8,35,3,1 plate
Dondakaya Kura (Ivy Gourd Curry),Dinner,280,6,12,30,6,1 bowl
Chili Chicken (Andhra-style),Dinner,450,30,25,10,2,1 serving
Biryani (Andhra-style),Dinner,600,25,18,70,4,1 plate
Kobbari Annam (Coconut Rice),Dinner,350,7,14,45,3,1 bowl
Vankaya Kura (Eggplant Curry),Dinner,300,5,14,40,6,1 bowl
Methi Thepla (Fenugreek Flatbread),Dinner,270,8,10,35,7,1 serving
Kodi Vepudu (Spicy Chicken Fry),Dinner,400,28,20,10,2,1 serving
Sambar Rice,Dinner,350,12,8,50,7,1 plate
Kothimeera Pachadi (Coriander Chutney),Dinner,120,3,5,15,3,2 tbsp
Chegodilu (Crispy Fried Dough),Dinner,180,4,8,24,2,3 pieces
Pootharekulu (Rice Paper Sweet),Dessert,150,2,5,25,1,2 pieces
Sundal (Chickpea Salad),Snack/Dinner,220,10,8,30,8,1 bowl
Ragi Mudde (Finger Millet Balls),Dinner,220,8,2,40,8,2 balls
Nellore Chepala Pulusu (Fish Curry),Dinner,450,30,18,10,3,1 bowl
Kodi Kura (Chicken Curry),Dinner,500,35,22,15,4,1 bowl
Malli Pulao (Coriander Rice),Dinner,350,6,12,50,4,1 plate
Pappu Charu (Lentil Stew),Dinner,250,12,8,40,10,1 bowl
Kura (Spicy Vegetable Curry),Dinner,300,8,14,35,6,1 bowl
Mamidikaya Pappu (Mango Lentil Curry),Dinner,300,12,8,40,8,1 bowl
Vankaya (Eggplant) Masala,Dinner,280,5,12,30,6,1 bowl
Chintakaya Pulihora (Tamarind Rice),Dinner,230,5,7,35,3,1 plate
Pesarattu (Green Gram Pancake),Dinner,300,15,10,35,6,2 pancakes
Aratikaya Kura (Raw Banana Curry),Dinner,270,6,10,30,5,1 bowl
Menthulu Kura (Fenugreek Leaves Curry),Dinner,200,6,8,25,7,1 bowl
Curry Leaves Chicken,Dinner,400,30,18,10,3,1 bowl
Chili Gobi (Spicy Cauliflower Fry),Dinner,350,10,15,40,5,1 bowl
Dosa with Sambar and Coconut Chutney,Dinner,400,10,12,50,7,2 dosas
Gongura Mutton,Dinner,450,30,25,15,4,1 bowl
Pulao with Raita,Dinner,400,10,15,50,6,1 plate
Dosa with Potato Filling,Dinner,350,8,10,45,5,2 dosas
Ragi Mudde (Finger Millet Balls),Dinner,220,8,2,40,8,2 balls
Chili Chicken (Andhra-style),Dinner,450,30,25,10,2,1 serving
Kobbari Annam (Coconut Rice),Dinner,350,7,14,45,3,1 bowl
Gongura Rice,Dinner,300,6,12,40,5,1 bowl
Pulao with Raita,Dinner,400,10,15,50,6,1 plate
Lemon Rice,Dinner,250,4,8,36,2,1 plate
Curry Leaf Rice,Dinner,270,5,10,40,4,1 bowl
Vangi Bath (Brinjal Rice),Dinner,350,6,15,40,5,1 plate
Tamarind Rice (Puliyodarai),Dinner,280,5,7,40,4,1 plate
Tomato Rice,Dinner,300,6,10,40,5,1 plate
Cabbage Rice,Dinner,270,6,8,40,6,1 plate
Peanut Rice (Verusenaga Annam),Dinner,350,12,14,45,5,1 plate
Bisi Bele Bath (Rice with Lentils & Veggies),Dinner,450,12,18,60,8,1 bowl
Coriander Rice (Malli Annam),Dinner,350,6,12,50,4,1 plate
Mint Rice,Dinner,330,7,10,50,6,1 plate
Rava Upma with Rice,Dinner,400,10,18,50,6,1 bowl
Chili Garlic Rice,Dinner,350,8,15,40,4,1 plate
Kalonji Rice,Dinner,320,6,10,45,5,1 plate
Aloo Rice (Potato Rice),Dinner,380,8,14,50,6,1 plate
Green Bean Rice,Dinner,290,8,10,40,6,1 plate
