Food Item,Meal Type,Calories,Protein,Fat,Carbohydrates,Fiber,Serving Size
Scrambled Eggs,Breakfast,150 kcal,12g,10g,2g,1.5g,1 serving
Oatmeal,Breakfast,120 kcal,4g,2g,23g,3g,1 serving
Pancakes,Breakfast,200 kcal,5g,7g,30g,1g,2 pancakes
Yogurt,Breakfast,100 kcal,8g,2g,12g,0g,1 cup
Toast,Breakfast,100 kcal,3g,2g,20g,2g,2 slices
Dosa (Plain),Breakfast,150-180 kcal,3-4g,4-5g,25-30g,1-2g,1 dosa (100-120g)
Idly,Breakfast,40-60 kcal,1-2g,0-1g,8-12g,0.5-1g,1 idly (40g)
White Rice,Breakfast,205 kcal,4g,0.4g,45g,0.6g,1 cup (158g cooked)
Upma,Breakfast,150-200 kcal,4-6g,6-10g,25-30g,3-4g,1 cup (200g)
Bread,Breakfast,70-80 kcal,2-3g,1-2g,12-15g,1-2g,1 slice (30g)
Chapathi,Breakfast,100-120 kcal,3-4g,2-3g,20-25g,2-3g,1 chapathi (40g)
Corn Flakes,Breakfast,110-130 kcal,2-3g,0-1g,24-28g,1-2g,1 cup (30g)
Sandwich (Veg),Breakfast,250-350 kcal,8-10g,10-15g,30-40g,3-5g,1 sandwich (150-200g)
Omlette (2 Eggs),Breakfast,140-160 kcal,12-14g,10-12g,1-2g,0g,1 serving (2 eggs)
Vada (Medu Vada),Breakfast,150-180 kcal,3-4g,8-10g,15-20g,2-3g,1 vada (50g)
Maggi,Breakfast,320-350 kcal,6-8g,14-16g,40-45g,2g,1 packet (70g dry)
Sweet Corn,Breakfast,130 kcal,5g,1.5g,31g,3g,1 cup (164g)
Masala Dosa,Breakfast,250-300 kcal,6-7g,8-10g,35-40g,3-4g,1 dosa (120-150g)
Onion Dosa,Breakfast,250-300 kcal,6-7g,8-10g,35-40g,2-3g,1 dosa (120-150g)
Karam Dosa,Breakfast,250-300 kcal,6-7g,8-10g,35-40g,3-4g,1 dosa (120-150g)
Cheese Dosa,Breakfast,300-350 kcal,10-12g,15-18g,35-40g,3-4g,1 dosa (120-150g)
Bread Omlette,Breakfast,250-300 kcal,12-14g,12-14g,25-30g,2-3g,2 sclies 1 egg
Poha,Breakfast,250-300 kcal,5-6g,10-12g,35-40g,3-4g,1 cup (200g)
Aloo Paratha,Breakfast,250-300 kcal,5-7g,10-12g,35-40g,4g,1 paratha (150g)
Methi Thepla,Breakfast,180-220 kcal,4-6g,6-8g,30-35g,3g,1 thepla (50-60g)
Smoothie (Banana & Spinach),Breakfast,150-180 kcal,3-4g,2-4g,35-40g,4g,1 glass (250ml)
Chilla (Besan),Breakfast,100-150 kcal,6-8g,5-7g,12-15g,2-3g,1 chilla (80g)
Porridge (Rice),Breakfast,150-180 kcal,3-5g,2-3g,30-35g,2g,1 cup (200g)
Samosa,Breakfast,200-250 kcal,4-5g,10-12g,25-30g,3g,1 samosa (100g)
Bagel with Cream Cheese,Breakfast,300-350 kcal,8-10g,15-20g,30-35g,2g,1 bagel (100g)
Fruits (Mixed),Breakfast,100-150 kcal,1-2g,0-1g,25-35g,3-5g,1 cup (200g)
French Toast,Breakfast,250-300 kcal,8-10g,12-14g,30-35g,2g,2 slices (100g)
Apple Cinnamon Oatmeal,Breakfast,180-220 kcal,4-6g,3-5g,30-35g,5g,1 serving (200g)
Avocado Toast,Breakfast,250-300 kcal,5-6g,18-22g,20-25g,6g,1/2 avocado
Egg Salad Sandwich,Breakfast,300-350 kcal,12-15g,15-20g,25-30g,3g,1 sandwich (150g)
Quinoa Porridge,Breakfast,180-220 kcal,6-8g,4-6g,35-40g,4g,1 cup (200g)
Masala Chai with Biscuit,Breakfast,150-200 kcal,2-3g,6-8g,25-30g,1-2g,chai+2 biscuits
Coconut Water Smoothie,Breakfast,120-150 kcal,1-2g,5g,25-30g,3g,1 glass (250ml)
Moong Dal Chilla,Breakfast,150-180 kcal,8-10g,5-7g,20-25g,4g,1 chilla (80g)
Cottage Cheese (Paneer) with Salad,Breakfast,200-250 kcal,15-20g,15-18g,5-10g,2g,1 serving (100g)
Poached Eggs,Breakfast,140-160 kcal,12-14g,10-12g,2-3g,0g,2 eggs
Chia Pudding,Breakfast,200-250 kcal,6-8g,12-14g,20-25g,5-7g,1 serving (200g)
Vegetable Soup,Breakfast,150-200 kcal,5-7g,5-7g,25-30g,4g,1 bowl (200g)
